Site Code,Month-Year,Date,FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
CDA,May-2023,2023-05-11 00:00:00,67.95%,9.35,6.433660714285714,19.82,24.07,8.89,77.92%,88.26%,60.06%
CDA,May-2023,2023-05-12 00:00:00,67.46%,10.23,8.126011904761905,21.21,24.24,9.57,77.27%,87.33%,61.01%
CDA,May-2023,2023-05-13 00:00:00,73.54%,6.52,5.265515873015873,18.11,20.70,6.29,81.89%,86.63%,61.48%
CDA,May-2023,2023-05-14 00:00:00,70.06%,8.74,6.046289682539682,20.44,24.09,7.49,79.98%,88.90%,58.58%
CDA,May-2023,2023-05-15 00:00:00,70.86%,7.69,5.4362551440329225,18.71,25.64,6.53,80.12%,88.77%,60.36%
CDA,May-2023,2023-05-16 00:00:00,72.75%,8.13,6.1840170940170935,21.70,27.55,7.06,81.12%,85.54%,62.14%
CDA,May-2023,2023-05-17 00:00:00,75.73%,8.75,6.845046296296296,27.30,30.71,8.23,83.49%,87.92%,61.73%
CDA,May-2023,2023-05-18 00:00:00,97.64%,0.45,0,18.77,18.77,0.00,98.35%,91.60%,69.19%
HVC,May-2021,2021-05-18 00:00:00,73.48%,5.71,1.533023943181818,15.81,21.56,4.03,78.44%,82.30%,76.18%
HVC,May-2021,2021-05-19 00:00:00,77.42%,6.51,1.2086507628571428,22.31,26.45,4.23,81.92%,84.35%,75.65%
HVC,May-2021,2021-05-20 00:00:00,73.72%,7.91,1.6293253599999997,22.20,25.37,5.25,78.82%,83.46%,75.41%
HVC,May-2021,2021-05-21 00:00:00,72.36%,5.73,1.2386611270270271,15.00,16.35,3.71,76.80%,80.40%,79.09%
HVC,May-2021,2021-05-22 00:00:00,71.70%,9.15,1.4330513151515152,23.19,26.70,5.78,76.80%,84.45%,76.54%
HVC,May-2021,2021-05-23 00:00:00,66.27%,10.81,1.3380685421875,21.24,25.23,6.30,72.58%,83.95%,74.20%
HVC,May-2021,2021-05-24 00:00:00,67.19%,10.69,1.5922655921874997,21.89,25.31,6.25,73.73%,83.32%,72.95%
HVC,May-2021,2021-05-25 00:00:00,67.85%,10.12,1.1704352925373132,21.35,23.58,5.24,74.93%,84.30%,70.59%
HVC,May-2021,2021-05-26 00:00:00,68.18%,12.78,1.8740724017857144,27.40,29.84,6.68,74.10%,84.86%,74.89%
HVC,May-2021,2021-05-27 00:00:00,65.98%,11.08,2.1258006176470587,21.49,24.65,6.21,71.29%,83.91%,78.09%
HVC,May-2021,2021-05-28 00:00:00,64.94%,10.62,1.5837022925373134,19.67,23.78,5.64,71.09%,83.86%,75.32%
HVC,May-2021,2021-05-29 00:00:00,63.04%,15.05,2.6588033884615387,25.68,29.63,7.45,69.65%,86.07%,74.32%
HVC,May-2021,2021-05-30 00:00:00,63.35%,8.93,1.411264342528736,15.43,17.56,4.66,70.41%,85.95%,72.66%
HVC,May-2021,2021-05-31 00:00:00,66.48%,9.50,1.6041044973684218,18.85,21.33,5.11,72.53%,85.69%,75.11%
HVC,Jun-2021,2021-06-01 00:00:00,66.62%,6.41,0.8078447089285713,12.80,14.17,3.55,73.28%,85.37%,72.77%
HVC,Jun-2021,2021-06-02 00:00:00,66.61%,7.61,1.4151060808988765,15.19,17.92,5.10,73.43%,88.50%,72.19%
HVC,Jun-2021,2021-06-03 00:00:00,69.90%,7.59,1.2583435901234572,17.62,20.89,4.91,75.90%,84.52%,73.77%
HVC,Jun-2021,2021-06-04 00:00:00,74.30%,6.82,1.285606962962963,19.71,22.39,4.84,79.30%,81.24%,75.44%
HVC,Jun-2021,2021-06-05 00:00:00,70.35%,11.51,2.1385763541666667,27.29,33.55,7.15,77.27%,68.77%,69.80%
HVC,Jun-2021,2021-06-06 00:00:00,69.17%,10.64,2.057244955737705,23.86,26.99,6.26,75.13%,80.93%,74.24%
HVC,Jun-2021,2021-06-07 00:00:00,69.14%,9.10,1.1457876410958907,20.39,23.47,5.27,74.52%,82.40%,76.63%
HVC,Jun-2021,2021-06-08 00:00:00,73.31%,10.89,1.5407992816326528,29.91,37.24,6.29,78.03%,82.09%,77.35%
HVC,Jun-2021,2021-06-09 00:00:00,73.53%,8.80,1.4305718573529411,24.44,26.96,5.09,78.24%,81.42%,77.28%
HVC,Jun-2021,2021-06-10 00:00:00,76.37%,6.93,1.156270902739726,22.40,26.69,4.56,80.07%,82.52%,80.44%
HVC,Jun-2021,2021-06-11 00:00:00,73.38%,7.54,1.2196167012658228,20.78,22.88,3.98,78.23%,84.66%,76.73%
HVC,Jun-2021,2021-06-12 00:00:00,73.40%,9.45,0.9324105237288136,26.09,31.40,5.65,77.80%,84.18%,78.76%
HVC,Jun-2021,2021-06-13 00:00:00,72.51%,8.37,1.7786191246376815,22.07,25.91,5.13,77.59%,83.84%,76.21%
HVC,Jun-2021,2021-06-14 00:00:00,70.02%,9.40,2.3933664701492536,21.96,26.22,6.22,74.92%,78.74%,78.17%
HVC,Jun-2021,2021-06-15 00:00:00,71.08%,10.46,2.05660390483871,25.72,29.86,6.47,74.98%,79.52%,82.01%
HVC,Jun-2021,2021-06-16 00:00:00,72.34%,5.89,1.2546560580952382,15.41,17.47,4.06,76.70%,80.04%,79.44%
HVC,Jun-2021,2021-06-17 00:00:00,70.14%,8.40,1.9338009544303798,19.73,22.73,5.53,74.72%,80.30%,79.50%
HVC,Jun-2021,2021-06-18 00:00:00,69.00%,9.08,2.4695832828571427,20.21,24.25,5.88,74.77%,81.39%,75.12%
HVC,Jun-2021,2021-06-19 00:00:00,72.10%,8.87,1.8514739709677417,22.91,28.09,5.91,77.66%,82.50%,74.33%
HVC,Jun-2021,2021-06-20 00:00:00,75.00%,8.87,1.559265193548387,26.60,29.60,5.88,79.69%,80.45%,76.48%
HVC,Jun-2021,2021-06-21 00:00:00,73.17%,7.19,1.7253339936708856,19.59,22.07,4.93,78.67%,79.44%,73.92%
HVC,Jun-2021,2021-06-22 00:00:00,70.89%,9.36,1.63737844375,22.81,26.37,6.22,76.81%,78.28%,73.55%
HVC,Jun-2021,2021-06-23 00:00:00,70.82%,11.67,2.4331514872727276,28.32,32.43,7.43,75.59%,80.76%,78.38%
HVC,Jun-2021,2021-06-24 00:00:00,72.70%,8.10,1.1429513472222221,21.56,25.75,5.77,76.69%,79.68%,80.91%
HVC,Jun-2021,2021-06-25 00:00:00,70.75%,6.58,1.0937197717391303,15.92,17.82,4.14,77.41%,80.05%,70.60%
HVC,Jun-2021,2021-06-26 00:00:00,68.56%,8.24,1.2350200433734941,17.97,20.35,4.97,74.13%,83.96%,76.10%
HVC,Jun-2021,2021-06-27 00:00:00,63.38%,6.96,1.2378514113636367,12.05,12.60,3.58,67.85%,84.01%,82.02%
HVC,Jun-2021,2021-06-28 00:00:00,65.94%,6.27,1.5608523862595418,12.14,12.98,3.70,70.50%,82.96%,81.02%
HVC,Jun-2021,2021-06-29 00:00:00,63.05%,8.93,2.051355511,15.25,15.86,4.82,68.90%,81.92%,77.02%
HVC,Jun-2021,2021-06-30 00:00:00,65.74%,8.04,2.1395999680000006,15.42,16.04,4.18,72.02%,80.78%,74.55%
HVC,Jul-2021,2021-07-01 00:00:00,60.00%,16.15,11.66581016111111,24.23,28.94,15.35,76.47%,77.01%,46.16%
HVC,Jul-2021,2021-07-02 00:00:00,60.16%,10.33,2.3847942037037035,15.60,16.37,4.74,70.59%,79.64%,62.90%
HVC,Jul-2021,2021-07-03 00:00:00,60.16%,11.60,2.673040091666667,17.51,18.97,5.26,69.36%,80.80%,66.71%
HVC,Jul-2021,2021-07-04 00:00:00,65.48%,10.83,1.6248365808823528,20.55,23.27,4.54,72.37%,83.85%,72.42%
HVC,Jul-2021,2021-07-05 00:00:00,69.58%,8.20,1.3639721999999999,18.75,21.10,4.13,75.07%,82.88%,75.95%
HVC,Jul-2021,2021-07-06 00:00:00,67.35%,11.94,1.7104483122807015,24.63,28.09,5.13,73.78%,81.06%,73.30%
HVC,Jul-2021,2021-07-07 00:00:00,64.57%,8.96,1.3250968732558137,16.33,17.65,3.48,72.11%,80.87%,70.50%
HVC,Jul-2021,2021-07-08 00:00:00,64.46%,8.60,1.7350243824175824,15.60,17.31,3.59,70.69%,79.30%,75.18%
HVC,Jul-2021,2021-07-09 00:00:00,66.41%,10.33,1.0278310246575342,20.42,22.10,3.32,72.47%,85.12%,75.08%
HVC,Jul-2021,2021-07-10 00:00:00,64.92%,10.21,1.1610147826666668,18.89,21.15,3.83,71.18%,85.16%,74.93%
HVC,Jul-2021,2021-07-11 00:00:00,63.17%,10.57,2.1427674530864196,18.14,19.48,4.07,69.07%,81.53%,76.82%
HVC,Jul-2021,2021-07-12 00:00:00,66.69%,9.75,1.7902506402439022,19.53,20.24,3.98,72.36%,83.09%,76.47%
HVC,Jul-2021,2021-07-13 00:00:00,66.98%,8.32,1.7636469268817208,16.89,17.79,3.72,72.47%,83.97%,77.06%
HVC,Jul-2021,2021-07-14 00:00:00,65.53%,10.60,2.1277147786666664,20.15,22.03,5.43,71.02%,82.25%,77.59%
HVC,Jul-2021,2021-07-15 00:00:00,65.08%,10.51,2.5365905315068495,19.59,22.01,4.73,71.04%,84.01%,75.97%
HVC,Jul-2021,2021-07-16 00:00:00,63.38%,9.78,2.380255653409091,16.93,18.28,4.52,68.77%,82.78%,78.60%
HVC,Jul-2021,2021-07-17 00:00:00,64.09%,9.72,2.0583269954545447,17.34,18.72,4.15,68.95%,85.16%,80.35%
HVC,Jul-2021,2021-07-18 00:00:00,65.82%,9.84,1.952446426506024,18.95,20.32,3.99,70.82%,84.43%,79.36%
HVC,Jul-2021,2021-07-19 00:00:00,63.74%,9.46,2.16953981010101,16.63,17.13,3.77,67.95%,84.70%,82.92%
HVC,Jul-2021,2021-07-20 00:00:00,62.64%,10.17,2.0235011322916665,17.06,17.77,4.13,66.48%,84.32%,84.55%
HVC,Jul-2021,2021-07-21 00:00:00,64.13%,7.25,1.0344785713114755,12.97,13.71,2.17,68.93%,83.21%,80.61%
HVC,Jul-2021,2021-07-22 00:00:00,62.15%,9.72,2.135303514432989,15.96,17.11,4.00,66.56%,81.50%,82.47%
HVC,Jul-2021,2021-07-23 00:00:00,61.91%,11.07,2.1755656951219513,17.98,19.74,4.53,66.89%,83.73%,80.44%
HVC,Jul-2021,2021-07-24 00:00:00,65.17%,7.81,0.9426283783018868,14.62,15.86,2.86,69.92%,82.11%,80.48%
HVC,Jul-2021,2021-07-25 00:00:00,68.88%,8.22,1.074489001234568,18.20,20.89,2.96,74.43%,79.69%,76.06%
HVC,Jul-2021,2021-07-26 00:00:00,66.46%,10.84,1.2862747123287672,21.49,23.25,4.05,71.42%,84.80%,79.29%
HVC,Jul-2021,2021-07-27 00:00:00,62.06%,11.00,1.5332964891566263,17.99,18.64,4.50,68.46%,82.98%,75.36%
HVC,Jul-2021,2021-07-28 00:00:00,60.75%,9.25,1.6932721920000002,14.32,15.46,4.30,66.95%,84.84%,76.39%
HVC,Jul-2021,2021-07-29 00:00:00,63.81%,10.02,1.8153672499999995,17.68,18.07,4.38,69.39%,84.85%,77.78%
HVC,Jul-2021,2021-07-30 00:00:00,64.94%,10.58,1.2517287671052633,19.60,21.67,4.61,70.33%,83.33%,78.13%
HVC,Jul-2021,2021-07-31 00:00:00,64.00%,13.37,2.6066944116666666,23.76,26.53,6.22,70.01%,83.66%,76.13%
HVC,Aug-2021,2021-08-01 00:00:00,65.45%,12.70,1.5887830428571428,24.07,25.98,4.91,70.70%,82.24%,78.52%
HVC,Aug-2021,2021-08-02 00:00:00,68.60%,11.45,1.59839840625,25.01,26.96,3.92,73.33%,83.59%,79.47%
HVC,Aug-2021,2021-08-03 00:00:00,61.31%,12.68,2.4871658756756756,20.10,21.45,5.20,66.34%,85.60%,80.40%
HVC,Aug-2021,2021-08-04 00:00:00,60.14%,9.73,1.710716631,14.68,15.41,4.24,65.68%,82.49%,78.84%
HVC,Aug-2021,2021-08-05 00:00:00,60.99%,11.66,1.5816810636363636,18.23,20.13,4.53,66.84%,84.32%,77.56%
HVC,Aug-2021,2021-08-06 00:00:00,60.65%,10.08,2.020364960465116,15.53,17.16,4.15,67.60%,85.80%,73.87%
HVC,Aug-2021,2021-08-07 00:00:00,62.91%,12.66,1.6720769,21.47,23.78,5.65,69.48%,81.73%,74.51%
HVC,Aug-2021,2021-08-08 00:00:00,62.65%,9.34,1.0693701325581395,15.66,17.30,3.23,70.30%,84.51%,70.89%
HVC,Aug-2021,2021-08-09 00:00:00,66.64%,12.08,0.9692592365079366,24.13,26.43,4.04,71.88%,86.88%,78.14%
HVC,Aug-2021,2021-08-10 00:00:00,62.37%,10.13,1.0283365764705883,16.79,17.97,3.50,68.77%,84.80%,75.24%
HVC,Aug-2021,2021-08-11 00:00:00,62.11%,10.44,1.650991050617284,17.11,19.01,4.22,68.55%,87.05%,75.19%
HVC,Aug-2021,2021-08-12 00:00:00,62.41%,10.61,2.161401288059701,17.62,18.93,3.95,70.93%,83.05%,68.05%
HVC,Aug-2021,2021-08-13 00:00:00,87.51%,8.01,7.4392063,56.12,64.14,8.01,93.63%,91.68%,47.66%
HVC,Aug-2021,2021-08-14 00:00:00,55.44%,12.14,1.8941028836065577,15.10,16.09,3.45,68.98%,83.54%,55.94%
HVC,Aug-2021,2021-08-15 00:00:00,100.00%,0.00,0,0.00,0.00,0.00,100.00%,100.00%,33.33%
HVC,Aug-2021,2021-08-16 00:00:00,100.00%,0.00,0,0.00,0.00,0.00,100.00%,100.00%,33.33%
HVC,Aug-2021,2021-08-17 00:00:00,100.00%,0.00,0,0.00,0.00,0.00,100.00%,99.35%,35.14%
HVC,Aug-2021,2021-08-18 00:00:00,58.64%,7.61,1.7810185,10.79,11.93,3.61,72.00%,87.83%,55.12%
HVC,Aug-2021,2021-08-19 00:00:00,61.50%,11.29,2.382659285294118,18.03,20.15,4.65,71.12%,84.08%,64.85%
HVC,Aug-2021,2021-08-20 00:00:00,62.14%,13.05,1.6297796637931035,21.42,24.74,5.58,70.84%,86.48%,67.54%
HVC,Aug-2021,2021-08-21 00:00:00,64.77%,12.02,2.1347442253968256,22.09,24.90,5.49,71.32%,89.73%,73.92%
HVC,Aug-2021,2021-08-22 00:00:00,66.19%,12.34,2.4940725532258066,24.17,26.90,5.02,71.57%,86.07%,77.76%
HVC,Aug-2021,2021-08-23 00:00:00,69.78%,9.65,1.4737369609375,22.27,26.45,4.03,75.22%,81.71%,76.06%
HVC,Aug-2021,2021-08-24 00:00:00,69.33%,10.53,2.1482257693548386,23.81,26.88,5.09,75.42%,83.19%,73.67%
HVC,Aug-2021,2021-08-25 00:00:00,66.53%,8.45,2.028538611956522,16.79,18.43,4.36,71.47%,81.42%,79.34%
HVC,Aug-2021,2021-08-26 00:00:00,67.07%,10.98,2.522337271428571,22.37,23.97,5.70,72.43%,82.64%,77.55%
HVC,Aug-2021,2021-08-27 00:00:00,69.62%,10.02,1.8659920314285716,22.97,24.61,4.55,75.03%,82.74%,76.28%
HVC,Aug-2021,2021-08-28 00:00:00,64.48%,10.17,2.0866025269230772,18.45,20.11,4.98,71.30%,82.02%,73.08%
HVC,Aug-2021,2021-08-29 00:00:00,69.26%,8.90,1.6880067283783782,20.05,22.49,4.09,75.56%,82.57%,72.90%
HVC,Aug-2021,2021-08-30 00:00:00,70.05%,10.89,1.8667423836363635,25.46,30.09,5.13,76.19%,85.55%,73.10%
HVC,Aug-2021,2021-08-31 00:00:00,68.82%,10.24,1.6695572515625001,22.60,25.78,4.75,74.98%,83.69%,73.64%
HVC,Sep-2021,2021-09-01 00:00:00,73.65%,8.57,1.4465688253521127,23.95,25.64,3.46,78.22%,85.14%,77.80%
HVC,Sep-2021,2021-09-02 00:00:00,75.08%,8.36,1.4167380514285712,25.19,26.62,3.46,79.46%,81.37%,77.86%
HVC,Sep-2021,2021-09-03 00:00:00,73.91%,8.21,1.6277477081081082,23.24,25.13,3.50,78.28%,84.80%,78.60%
HVC,Sep-2021,2021-09-04 00:00:00,69.94%,9.32,1.8426031328571428,21.69,25.40,4.45,74.64%,85.71%,79.06%
HVC,Sep-2021,2021-09-05 00:00:00,69.25%,8.88,1.0940764532467537,19.98,22.32,3.75,74.86%,84.60%,75.64%
HVC,Sep-2021,2021-09-06 00:00:00,71.15%,8.34,1.316396171052632,20.58,23.01,3.57,76.80%,87.02%,74.49%
HVC,Sep-2021,2021-09-07 00:00:00,68.87%,8.61,1.7714599829268287,19.06,21.38,3.94,73.99%,84.64%,77.76%
HVC,Sep-2021,2021-09-08 00:00:00,69.77%,11.36,2.513847181666667,26.21,30.14,4.96,73.99%,83.97%,81.14%
HVC,Sep-2021,2021-09-09 00:00:00,69.20%,11.18,1.257356723437501,25.11,27.86,4.73,73.66%,83.97%,80.36%
HVC,Sep-2021,2021-09-10 00:00:00,68.98%,11.98,1.6028897548387098,26.65,29.65,5.66,72.57%,84.70%,84.05%
HVC,Sep-2021,2021-09-11 00:00:00,68.22%,10.57,1.646303975,22.70,24.90,4.70,72.47%,84.86%,81.54%
HVC,Sep-2021,2021-09-12 00:00:00,66.88%,7.66,1.2112001801886796,15.46,16.19,3.69,71.97%,82.60%,78.65%
HVC,Sep-2021,2021-09-13 00:00:00,65.15%,9.78,2.0079247999999996,18.28,20.00,4.36,69.93%,82.92%,80.41%
HVC,Sep-2021,2021-09-14 00:00:00,66.83%,10.14,2.8862221839999997,20.43,23.43,5.85,71.22%,85.05%,81.41%
HVC,Sep-2021,2021-09-15 00:00:00,70.35%,7.01,1.5849913731958762,16.64,17.67,3.56,76.09%,82.30%,74.59%
HVC,Sep-2021,2021-09-16 00:00:00,71.51%,8.13,2.1546031298701305,20.41,23.06,4.87,76.65%,84.76%,76.44%
HVC,Sep-2021,2021-09-17 00:00:00,70.77%,8.40,1.8083950180555557,20.34,24.30,5.38,75.93%,81.58%,76.76%
HVC,Sep-2021,2021-09-18 00:00:00,71.75%,6.87,1.6757765322580644,17.46,19.33,4.35,76.72%,82.20%,77.06%
HVC,Sep-2021,2021-09-19 00:00:00,70.72%,8.42,1.245481450666667,20.35,23.60,5.03,75.50%,85.68%,78.40%
HVC,Sep-2021,2021-09-20 00:00:00,70.83%,7.50,2.2131388450000005,18.21,21.62,4.01,76.53%,81.96%,74.46%
HVC,Sep-2021,2021-09-21 00:00:00,70.45%,6.41,1.9738801687499994,15.28,17.66,3.31,76.48%,82.97%,73.30%
HVC,Sep-2021,2021-09-22 00:00:00,68.19%,8.94,2.61277773625,19.17,20.84,4.37,74.46%,83.00%,73.53%
HVC,Sep-2021,2021-09-23 00:00:00,68.01%,9.24,2.665064894805195,19.64,20.91,4.71,74.75%,82.34%,71.82%
HVC,Sep-2021,2021-09-24 00:00:00,68.32%,9.12,2.1650640705128206,19.68,21.44,4.34,74.18%,79.49%,75.06%
HVC,Sep-2021,2021-09-25 00:00:00,67.22%,9.09,1.320786439759036,18.64,19.31,3.79,74.19%,82.80%,71.33%
HVC,Sep-2021,2021-09-26 00:00:00,66.31%,8.28,1.231724096551724,16.29,18.73,3.81,72.73%,83.90%,73.82%
HVC,Sep-2021,2021-09-27 00:00:00,66.08%,10.32,1.754255197101449,20.10,23.02,5.14,72.92%,81.65%,72.33%
HVC,Sep-2021,2021-09-28 00:00:00,67.85%,9.20,1.9390629253333336,19.41,23.03,5.05,73.14%,81.96%,77.50%
HVC,Sep-2021,2021-09-29 00:00:00,65.91%,10.70,2.0322550868421057,20.68,22.32,5.08,71.24%,84.87%,78.05%
HVC,Sep-2021,2021-09-30 00:00:00,67.43%,10.82,2.1546019507462675,22.39,25.40,5.28,73.01%,87.54%,76.53%
HVC,Oct-2021,2021-10-01 00:00:00,66.86%,9.16,0.9805659562500001,18.49,20.57,3.56,73.08%,85.74%,74.30%
HVC,Oct-2021,2021-10-02 00:00:00,63.00%,9.25,2.031830776136364,15.74,17.18,4.12,70.61%,86.54%,70.87%
HVC,Oct-2021,2021-10-03 00:00:00,64.50%,10.81,2.2961150971014495,19.64,22.20,4.95,72.02%,82.88%,70.61%
HVC,Oct-2021,2021-10-04 00:00:00,64.29%,10.80,1.5367604155844157,19.44,20.95,4.27,70.37%,82.45%,75.81%
HVC,Oct-2021,2021-10-05 00:00:00,64.49%,10.33,1.5419408038961038,18.76,20.95,3.86,70.63%,82.55%,75.51%
HVC,Oct-2021,2021-10-06 00:00:00,65.12%,9.30,1.9123359759036145,17.37,19.46,3.97,70.98%,84.63%,76.32%
HVC,Oct-2021,2021-10-07 00:00:00,63.29%,9.39,2.246986685869565,16.18,17.41,4.50,69.39%,85.08%,76.05%
HVC,Oct-2021,2021-10-08 00:00:00,65.08%,10.66,2.4787962626666666,19.87,21.73,5.17,70.88%,84.24%,76.58%
HVC,Oct-2021,2021-10-09 00:00:00,64.16%,12.10,1.6733006220588238,21.66,22.93,4.84,70.96%,83.09%,73.27%
HVC,Oct-2021,2021-10-10 00:00:00,65.42%,11.21,2.3736994560606064,21.21,24.11,5.40,71.84%,76.74%,74.14%
HVC,Oct-2021,2021-10-11 00:00:00,67.20%,10.44,1.6640277371428571,21.39,22.92,5.03,74.00%,84.02%,71.99%
HVC,Oct-2021,2021-10-12 00:00:00,67.04%,10.74,1.632700590277778,21.84,23.66,5.39,72.61%,83.24%,76.70%
HVC,Oct-2021,2021-10-13 00:00:00,66.09%,10.86,1.8333555280000005,21.16,22.29,5.13,71.63%,85.15%,77.22%
HVC,Oct-2021,2021-10-14 00:00:00,64.59%,11.07,2.908290570769231,20.19,24.54,6.44,70.93%,83.78%,74.78%
HVC,Oct-2021,2021-10-15 00:00:00,68.07%,9.35,2.7188502694444443,19.94,22.44,5.61,74.75%,82.84%,72.02%
HVC,Oct-2021,2021-10-16 00:00:00,66.97%,10.10,2.4372664594202904,20.48,23.45,5.33,73.24%,85.29%,74.09%
HVC,Oct-2021,2021-10-17 00:00:00,71.92%,8.99,1.9544358707692304,23.04,26.58,4.95,77.37%,85.14%,74.93%
HVC,Oct-2021,2021-10-18 00:00:00,72.08%,12.32,2.276018456862744,31.81,34.93,5.96,77.17%,83.21%,76.37%
HVC,Oct-2021,2021-10-19 00:00:00,70.54%,9.44,2.1285457102941177,22.59,25.92,4.99,75.62%,83.41%,77.19%
HVC,Oct-2021,2021-10-20 00:00:00,71.03%,8.40,1.9596783250000003,20.60,23.31,4.39,75.59%,85.24%,79.16%
HVC,Oct-2021,2021-10-21 00:00:00,70.54%,8.72,2.6454012049382714,20.87,22.15,4.94,75.02%,84.78%,79.73%
HVC,Oct-2021,2021-10-22 00:00:00,69.90%,9.07,2.311287842857143,21.06,22.70,5.07,74.92%,84.93%,77.75%
HVC,Oct-2021,2021-10-23 00:00:00,67.41%,12.52,3.0866032701754387,25.90,29.53,6.38,72.87%,82.35%,77.00%
HVC,Oct-2021,2021-10-24 00:00:00,65.60%,11.47,2.741199450000001,21.88,25.19,5.87,70.81%,79.62%,78.61%
HVC,Oct-2021,2021-10-25 00:00:00,62.79%,11.47,1.8185436199999998,19.36,22.68,4.84,68.52%,83.45%,77.53%
HVC,Oct-2021,2021-10-26 00:00:00,61.22%,9.60,2.2735591802197805,15.15,16.98,4.68,67.24%,82.00%,76.91%
HVC,Oct-2021,2021-10-27 00:00:00,61.61%,10.46,2.081062056470589,16.79,17.78,3.95,68.62%,83.78%,73.39%
HVC,Oct-2021,2021-10-28 00:00:00,62.83%,10.60,2.0865505911392397,17.91,19.95,4.53,68.55%,84.30%,77.55%
HVC,Oct-2021,2021-10-29 00:00:00,57.66%,11.65,2.0655459494252875,15.87,17.87,4.93,64.42%,83.22%,75.21%
HVC,Oct-2021,2021-10-30 00:00:00,71.33%,8.67,1.7524362114754097,21.57,25.45,5.00,77.36%,83.58%,72.79%
HVC,Oct-2021,2021-10-31 00:00:00,64.66%,8.62,1.016483556818182,15.77,17.56,3.24,71.81%,82.88%,71.85%
HVC,Nov-2021,2021-11-01 00:00:00,69.40%,7.62,1.4593038882352942,17.29,19.73,3.99,75.42%,82.68%,73.91%
HVC,Nov-2021,2021-11-02 00:00:00,66.66%,9.60,1.4225396542857147,19.19,22.76,4.98,73.12%,81.66%,73.50%
HVC,Nov-2021,2021-11-03 00:00:00,70.91%,10.04,1.7260009396551725,24.46,28.26,4.75,77.57%,80.52%,70.48%
HVC,Nov-2021,2021-11-04 00:00:00,68.23%,7.28,1.6114653795918363,15.63,16.59,3.67,74.56%,82.12%,73.26%
HVC,Nov-2021,2021-11-05 00:00:00,70.04%,8.77,1.1161226555555555,20.50,23.06,3.82,76.23%,76.52%,72.88%
HVC,Nov-2021,2021-11-06 00:00:00,59.78%,16.01,1.1667153719298247,23.80,27.14,5.04,68.09%,82.56%,69.66%
HVC,Nov-2021,2021-11-07 00:00:00,72.89%,7.92,2.2144797618181817,21.30,28.65,6.03,78.98%,84.68%,71.59%
HVC,Nov-2021,2021-11-08 00:00:00,64.97%,10.17,1.6604259,18.87,20.88,4.51,71.64%,82.91%,73.43%
HVC,Nov-2021,2021-11-09 00:00:00,66.12%,8.43,1.4420411595505616,16.45,18.67,4.33,71.62%,81.51%,77.36%
HVC,Nov-2021,2021-11-10 00:00:00,63.85%,11.39,2.215226154285714,20.11,22.99,5.32,69.27%,83.11%,78.38%
HVC,Nov-2021,2021-11-11 00:00:00,64.97%,10.02,2.103749971111111,18.59,18.79,4.46,69.72%,82.94%,80.55%
HVC,Nov-2021,2021-11-12 00:00:00,65.17%,10.02,1.821405593975904,18.75,19.87,4.26,70.47%,81.87%,78.38%
HVC,Nov-2021,2021-11-13 00:00:00,66.41%,8.77,1.5826698964705883,17.34,18.97,3.61,72.62%,85.65%,74.52%
HVC,Nov-2021,2021-11-14 00:00:00,66.30%,11.01,1.2802155611940298,21.67,24.26,4.49,72.57%,83.89%,74.38%
HVC,Nov-2021,2021-11-15 00:00:00,56.84%,10.61,2.173457130120482,13.98,16.00,5.33,66.04%,79.34%,67.71%
HVC,Nov-2021,2021-11-16 00:00:00,52.76%,14.67,3.4723568681818184,16.38,17.62,7.09,65.02%,76.79%,60.08%
HVC,Nov-2021,2021-11-17 00:00:00,55.36%,13.54,2.479803383076923,16.79,18.34,6.25,67.72%,83.23%,59.12%
HVC,Nov-2021,2021-11-18 00:00:00,56.30%,12.15,1.7266181365079363,15.66,18.64,4.57,69.26%,85.26%,57.18%
HVC,Nov-2021,2021-11-19 00:00:00,56.02%,13.39,2.4898503876923077,17.06,18.63,5.49,68.35%,83.12%,58.97%
HVC,Nov-2021,2021-11-20 00:00:00,60.01%,14.32,2.452549564285715,21.48,22.63,6.52,71.96%,86.40%,58.48%
HVC,Nov-2021,2021-11-21 00:00:00,61.70%,13.23,2.2427975821428583,21.31,23.22,5.89,73.10%,80.01%,59.29%
HVC,Nov-2021,2021-11-22 00:00:00,64.39%,11.21,1.004254085185185,20.28,22.91,4.46,77.16%,85.56%,53.52%
HVC,Nov-2021,2021-11-23 00:00:00,65.54%,9.92,1.1623101483333333,18.87,21.70,5.31,77.17%,85.25%,56.25%
HVC,Nov-2021,2021-11-24 00:00:00,61.64%,13.02,2.226718074074075,20.93,24.03,7.25,73.09%,85.49%,59.18%
HVC,Nov-2021,2021-11-25 00:00:00,63.47%,11.65,2.262843647457627,20.24,23.33,5.60,73.60%,85.13%,62.33%
HVC,Nov-2021,2021-11-26 00:00:00,65.82%,10.08,2.3321965476923077,19.42,21.21,4.55,76.30%,85.55%,59.81%
HVC,Nov-2021,2021-11-27 00:00:00,67.72%,10.97,1.2169892032258065,23.00,23.75,4.16,76.70%,86.61%,63.73%
